UnitOfType,min_short,max_short,min_long,max_long
EV_district,0,0.25,0,0.25
Bike_district,0,1,0,0.2
ICE_district,0,0.75,0,0.75
ElectricBike_district,0,1,0,0.2
PT_train,0,1,0.05,1
PT_bus,0,1,0,1
PT_metro,0,1,0,1
cars,0,83.523,0,83.523
PT,0,12.358,0,12.358
MD,0,4.119,0,4.119
