time,3195_bus,3195_metro
0,27,14
1,9,8
2,0,4
3,1,4
4,1,5
5,24,4
6,50,5
7,46,10
8,52,8
9,49,8
10,54,4
11,50,10
12,45,12
13,47,13
14,46,14
15,48,11
16,44,16
17,46,14
18,42,18
19,35,16
20,40,15
21,44,13
22,36,17
23,37,12
