time,3216_bus,3216_metro
0,10,18
1,4,10
2,1,8
3,1,7
4,0,5
5,19,14
6,35,27
7,44,38
8,52,34
9,50,34
10,52,32
11,47,37
12,60,34
13,52,38
14,52,37
15,40,39
16,41,40
17,36,41
18,38,43
19,43,34
20,26,31
21,15,24
22,8,24
23,8,24
