time,3217_bus,3217_metro
0,87,10
1,61,0
2,8,0
3,12,0
4,10,0
5,109,8
6,163,19
7,184,14
8,194,14
9,193,11
10,208,9
11,203,17
12,203,16
13,203,20
14,209,14
15,194,17
16,199,13
17,205,12
18,187,23
19,170,19
20,160,10
21,111,15
22,64,15
23,64,18
