time,3175_bus,3175_metro
0,38,21
1,13,11
2,1,8
3,2,8
4,1,5
5,21,12
6,55,23
7,63,24
8,77,21
9,74,24
10,82,21
11,81,21
12,78,23
13,83,24
14,86,21
15,77,20
16,88,14
17,78,14
18,79,15
19,65,24
20,57,23
21,48,19
22,46,20
23,47,21
