time,10680_bus,10680_metro
0,45,9
1,33,1
2,2,0
3,4,0
4,4,0
5,49,10
6,84,24
7,107,21
8,101,22
9,82,28
10,81,31
11,72,32
12,76,28
13,74,32
14,80,31
15,82,27
16,89,31
17,99,28
18,92,27
19,79,35
20,74,28
21,57,20
22,49,17
23,47,19
