time,3230_bus,3230_metro
0,195,0
1,116,0
2,7,0
3,6,0
4,15,0
5,268,0
6,329,0
7,357,0
8,359,0
9,357,0
10,352,0
11,340,0
12,352,0
13,341,0
14,334,0
15,345,0
16,358,0
17,362,0
18,355,0
19,356,0
20,344,0
21,276,0
22,159,0
23,149,0
