parameter,value
CostTransformer_inv2,35.756084
CostTransformer_inv1,11984.946742
GWP_Transformer2,399.7139843041117
GWP_Transformer1,259737.48895811898
GWP_Line2,0.2646092278252942
GWP_Line1,23.048564666818592
