Unit,2020,2030,2040,2050
HeatPump_Air,1240,1200,1150,1100
HeatPump_Geothermal,1240,1200,1150,1100
ElectricalHeater_SH,423.0,423.0,423.0,423.0
PV,1300,1200,1150,1150
Battery,1290,1000,800,600
