time,3217_bus,3217_metro
0,3506.100000000005,2350.0
1,2458.3,0
2,322.40000000000003,0
3,483.6000000000001,0
4,403.00000000000006,0
5,4392.700000000009,1880.0
6,6568.900000000019,4465.0
7,7415.200000000023,3290.0
8,7818.200000000024,3290.0
9,7777.900000000024,2585.0
10,8382.400000000023,2115.0
11,8180.900000000026,3995.0
12,8180.900000000026,3760.0
13,8180.900000000026,4700.0
14,8422.700000000023,3290.0
15,7818.200000000024,3995.0
16,8019.700000000025,3055.0
17,8261.500000000025,2820.0
18,7536.100000000023,5405.0
19,6851.00000000002,4465.0
20,6448.000000000018,2350.0
21,4473.300000000009,3525.0
22,2579.2000000000007,3525.0
23,2579.2000000000007,4230.0
