time,10680_bus,10680_metro
0,1813.4999999999986,2115.0
1,1329.8999999999992,235.0
2,80.6,0
3,161.2,0
4,161.2,0
5,1974.6999999999985,2350.0
6,3385.2000000000044,5640.0
7,4312.100000000009,4935.0
8,4070.3000000000075,5170.0
9,3304.600000000004,6580.0
10,3264.300000000004,7285.0
11,2901.600000000002,7520.0
12,3062.800000000003,6580.0
13,2982.2000000000025,7520.0
14,3224.0000000000036,7285.0
15,3304.600000000004,6345.0
16,3586.7000000000053,7285.0
17,3989.700000000007,6580.0
18,3707.600000000006,6345.0
19,3183.7000000000035,8225.0
20,2982.2000000000025,6580.0
21,2297.0999999999995,4700.0
22,1974.6999999999985,3995.0
23,1894.0999999999985,4465.0
