time,3230_bus,3230_metro
0,7858.500000000025,0
1,4674.80000000001,0
2,282.1,0
3,241.8,0
4,604.5,0
5,10800.39999999998,0
6,13258.699999999935,0
7,14387.099999999915,0
8,14467.699999999913,0
9,14387.099999999915,0
10,14185.599999999919,0
11,13701.999999999927,0
12,14185.599999999919,0
13,13742.299999999927,0
14,13460.199999999932,0
15,13903.499999999924,0
16,14427.399999999914,0
17,14588.599999999911,0
18,14306.499999999916,0
19,14346.799999999916,0
20,13863.199999999924,0
21,11122.799999999974,0
22,6407.700000000018,0
23,6004.700000000016,0
