time,3195_bus,3195_metro
0,1088.0999999999995,3290.0
1,362.70000000000005,1880.0
2,0,940.0
3,40.3,940.0
4,40.3,1175.0
5,967.1999999999996,940.0
6,2014.9999999999984,1175.0
7,1853.7999999999986,2350.0
8,2095.5999999999985,1880.0
9,1974.6999999999985,1880.0
10,2176.199999999999,940.0
11,2014.9999999999984,2350.0
12,1813.4999999999986,2820.0
13,1894.0999999999985,3055.0
14,1853.7999999999986,3290.0
15,1934.3999999999985,2585.0
16,1773.1999999999987,3760.0
17,1853.7999999999986,3290.0
18,1692.5999999999988,4230.0
19,1410.499999999999,3760.0
20,1611.9999999999989,3525.0
21,1773.1999999999987,3055.0
22,1450.799999999999,3995.0
23,1491.099999999999,2820.0
