time,3216_bus,3216_metro
0,403.00000000000006,4230.0
1,161.2,2350.0
2,40.3,1880.0
3,40.3,1645.0
4,0,1175.0
5,765.6999999999998,3290.0
6,1410.499999999999,6345.0
7,1773.1999999999987,8930.0
8,2095.5999999999985,7990.0
9,2014.9999999999984,7990.0
10,2095.5999999999985,7520.0
11,1894.0999999999985,8695.0
12,2418.0,7990.0
13,2095.5999999999985,8930.0
14,2095.5999999999985,8695.0
15,1611.9999999999989,9165.0
16,1652.2999999999988,9400.0
17,1450.799999999999,9635.0
18,1531.399999999999,10105.0
19,1732.8999999999987,7990.0
20,1047.7999999999995,7285.0
21,604.5,5640.0
22,322.40000000000003,5640.0
23,322.40000000000003,5640.0
