time,10481_bus,10481_metro
0,1249.2999999999993,0
1,201.5,0
2,0,0
3,0,0
4,0,0
5,161.2,0
6,1732.8999999999987,0
7,2418.0,0
8,2941.9000000000024,0
9,2579.2000000000007,0
10,1853.7999999999986,0
11,1813.4999999999986,0
12,1934.3999999999985,0
13,2377.7,0
14,2377.7,0
15,3022.5000000000027,0
16,3586.7000000000053,0
17,3103.100000000003,0
18,3506.100000000005,0
19,2337.3999999999996,0
20,1974.6999999999985,0
21,1370.1999999999991,0
22,1168.6999999999994,0
23,1208.9999999999993,0
