time,3246_bus,3246_metro
0,22406.79999999977,35720.0
1,4231.500000000008,2820.0
2,2458.3,1645.0
3,1329.8999999999992,1645.0
4,2579.2000000000007,1410.0
5,19142.49999999983,18095.0
6,32804.19999999958,54050.0
7,36189.39999999983,72145.0
8,37519.29999999992,73555.0
9,37881.99999999995,72850.0
10,39332.800000000054,70970.0
11,39574.60000000007,72380.0
12,39695.50000000008,74495.0
13,39655.20000000008,74025.0
14,39735.80000000008,74495.0
15,41992.600000000246,85540.0
16,42153.80000000026,87420.0
17,41791.10000000023,86010.0
18,42597.10000000029,87185.0
19,41912.00000000024,81780.0
20,38123.79999999997,64625.0
21,30668.29999999962,57810.0
22,24744.199999999728,56870.0
23,24059.09999999974,57575.0
