egid,period,class,area_era_m2,is_hotwater_system,x,y,z,transformer,gas_grid,h2_grid,geothermal_well,geometry,system_heating,system_heating2,thermal_k1_cooling_W_m2_K,energy_heating_signature_kWh_y,energy_cooling_signature_kWh_y,power_heating_signature_kW,power_cooling_signature_kW,id_building,total_annual_irr_kWh_y,roof_annual_irr_kWh_y,facade_annual_irr_kWh_y,area_solar_m2,energy_hotwater_signature_kWh_y,power_hotwater_signature_W,waste_signature_kg_y,waste_signature_kW,temperature_threshold_cooling_C,temperature_threshold_heating_C,temperature_cooling_supply_C,temperature_cooling_return_C,temperature_heating_supply_C,temperature_heating_return_C,temperature_hotwater_supply_C,temperature_hotwater_return_C,area_net_floor_m2,area_footprint_m2,area_facade_m2,area_facade_solar_m2,area_roof_solar_m2,temperature_interior_C,capita_cap,ratio,status,source_heating,source_hotwater,system_hotwater,id_class,solar_gain_factor_signature_m2,thermal_specific_capacity_Wh_m2_K,energy_el_kWh_y,thermal_transmittance_signature_kW_m2_K,count_floor,height_m,length_footprint_m,length_footprint_facade_m,area_roof_m2,energy_heating_2024_kWh_y,energy_hotwater_2024_kWh_y,id_city,id_neighborhood,id_transformers_V2
1025518/1025517/295086785,<1919,Residential/Other,327.08,True,2490626.721364119,1118720.823450001,491.0651392940856,9780,True,False,,"POLYGON ((2490604.0430835583 1118741.914862936, 2490612.2729691057 1118737.896769993, 2490619.0577593404 1118734.5853142822, 2490619.1893000007 1118734.818500001, 2490622.370000001 1118740.4624999985, 2490623.2225 1118739.9824, 2490627.396499999 1118737.6303000003, 2490641.521299999 1118729.6713000014, 2490638.039999999 1118723.4924999997, 2490637.3249999993 1118723.897500001, 2490637.1708999984 1118723.6239, 2490640.6213000007 1118721.6794000007, 2490643.6587999985 1118719.9675000012, 2490643.5458510914 1118719.7670574577, 2490643.5422793864 1118719.7599235496, 2490643.536791792 1118719.74896174, 2490643.53678882 1118719.748957023, 2490643.536786321 1118719.7489520325, 2490640.7528863247 1118714.8099520318, 2490640.7495564306 1118714.8046684572, 2490640.629999999 1118714.5925000012, 2490640.4156145966 1118714.713282796, 2490640.4123881636 1118714.7148973348, 2490634.1418933505 1118718.247610716, 2490623.901299998 1118700.0725000016, 2490617.3374999985 1118703.7712999992, 2490611.6900000013 1118706.9538000003, 2490605.463799998 1118710.4613000005, 2490616.3555000015 1118729.7906000018, 2490612.549899999 1118731.648600001, 2490609.637600001 1118733.0702, 2490601.407499999 1118737.0874999985, 2490603.817499999 1118742.0238000005, 2490604.0232566255 1118741.923365486, 2490604.031810349 1118741.9196971105, 2490604.0430835583 1118741.914862936), (2490623.0161838075 1118739.5250581147, 2490622.9879 1118739.5661000013, 2490623.016183807 1118739.525058115, 2490623.0161838075 1118739.5250581147))",Solar thermal installation for multiple buildings/Not documented,Not documented,0.0,30276.510732679068,0.0,13.859754459527412,0.0,601110,1809019,1177108,631911,2040.889422804597,927.1194188070049,296.3496428962163,3646.8944906437973,1.9324632091831973,18.0,15.643304390363356,12.0,17.0,65.0,50.0,60.0,15.0,262.714859437751,734.5314325863663,3080.3191403059554,1026.76689605285,1014.1225267517469,20.04776813012112,6.3,0.4280298397945457/0.41274305980188336/0.15922710040357102,"['existing', 'existing', 'existing', 'existing', 'existing']",Gas/Oil/Other,Gas/Oil/Other,Boiler/Not documented,II/II/XIII,0.08105267773058056,117.26635685458746,7263.464,0.0017335709918062092,2.268802739390728,9.406789722811403,166.9303550368054,166.92970117762675,1014.1225267517469,36606.93172690763,5271.784,6638,10323,22556
1025512,<1919,Residential,100.0,True,2490750.295705326,1118832.441300001,488.69999999999993,9780,True,False,,"POLYGON ((2490767.656300001 1118824.4549999982, 2490759.0304000005 1118826.5069999993, 2490758.147500001 1118824.6413000003, 2490740.0713 1118833.191300001, 2490741.8013000004 1118836.8487999998, 2490743.2300000004 1118839.870000001, 2490760.5199999996 1118831.691300001, 2490761.285 1118833.2787999995, 2490770.218800001 1118831.3962999992, 2490768.932500001 1118827.9112999998, 2490767.656300001 1118824.4549999982))",Solar thermal installation for multiple buildings,Not documented,0.0,9541.288299999993,0.0,4.3983,0.0,600901,433671,253828,179843,679.4673172994156,274.8882744089473,87.86682740641263,1170.4499999999998,0.6202130522260273,18.0,15.5,12.0,17.0,65.0,50.0,60.0,15.0,80.32128514056224,174.362536494791,444.2135088242379,444.20947386899195,235.2578434304237,20.0,1.7,1.0,"['existing', 'existing']",Oil,Oil,Boiler,II,0.08480461966747949,119.39999999999402,2200.0,0.00181,2.0,10.519999999999998,71.70805886381737,71.70767531293848,235.2578434304237,12193.574297188752,1400.0,6638,10323,22556
1025527/1025539/1025537/1025536/1025526/295078512,<1919/1919-1945,Residential,721.88,True,2490559.3680521445,1118663.2594000008,481.3629430512055,9780,True,False,,"POLYGON ((2490574.3238000013 1118669.0388000011, 2490578.9087999985 1118660.7375000007, 2490573.7017468945 1118657.861337292, 2490574.274900557 1118656.7126246442, 2490574.2798293983 1118656.7013988476, 2490574.284760874 1118656.690168005, 2490574.2847620887 1118656.6901642852, 2490574.284763659 1118656.690160709, 2490574.2885693135 1118656.6785032006, 2490574.29237536 1118656.6668457245, 2490574.2923762025 1118656.6668419107, 2490574.292377417 1118656.6668381908, 2490574.2950246516 1118656.654852291, 2490574.2976671974 1118656.642889397, 2490574.297667662 1118656.6428855192, 2490574.297668506 1118656.642881698, 2490574.299127394 1118656.6307005172, 2490574.3005854227 1118656.6185297351, 2490574.300585505 1118656.6185258261, 2490574.30058597 1118656.6185219449, 2490574.3008437953 1118656.6062599085, 2490574.301101931 1118656.5940013356, 2490574.3011016296 1118656.5939974394, 2490574.301101712 1118656.5939935292, 2490574.300156781 1118656.5817701141, 2490574.299211749 1118656.5695404203, 2490574.2992110667 1118656.5695365672, 2490574.2992107654 1118656.5695326729, 2490574.2970729573 1118656.5574645575, 2490574.2949330793 1118656.5453825612, 2490574.294932023 1118656.545378796, 2490574.2949313414 1118656.5453749476, 2490574.291618806 1118656.533566859, 2490574.2883071285 1118656.5217604118, 2490574.2883057096 1118656.5217567708, 2490574.288304653 1118656.5217530052, 2490574.2838509297 1118656.5103271203, 2490574.279397708 1118656.4989014661, 2490574.2793959375 1118656.498897979, 2490574.279394518 1118656.498894338, 2490574.2738431757 1118656.4879617204, 2490574.2682906203 1118656.4770258686, 2490574.2682885174 1118656.4770225736, 2490574.2682867474 1118656.4770190874, 2490574.2616915223 1118656.466684761, 2490574.2550928327 1118656.456344293, 2490574.255090415 1118656.4563412173, 2490574.2550883135 1118656.456337924, 2490574.247511431 1118656.446699202, 2490574.239931447 1118656.4370559142, 2490574.239928742 1118656.437053093, 2490574.2399263256 1118656.437050019, 2490574.231441715 1118656.4282009446, 2490574.2229524762 1118656.41934649, 2490574.222949505 1118656.4193439449, 2490574.222946801 1118656.419341125, 2490574.2136354875 1118656.4113661295, 2490574.204319436 1118656.4033865717, 2490574.204316233 1118656.403384332, 2490574.204313263 1118656.4033817886, 2490574.1942613586 1118656.396355248, 2490574.1842117743 1118656.3893298618, 2490574.184208366 1118656.3893279468, 2490574.184205162 1118656.389325707, 2490574.1735143363 1118656.3833190452, 2490574.1628231374 1118656.3773117345, 2490569.74792314 1118654.174311734, 2490569.7479063934 1118654.1743043805, 2490569.747890446 1118654.1742954229, 2490569.736674068 1118654.169372254, 2490569.725459513 1118654.1644479304, 2490569.7254421264 1118654.164442254, 2490569.7254253775 1118654.1644349024, 2490569.713780456 1118654.1606348378, 2490569.7021372323 1118654.156833444, 2490569.7021193733 1118654.156829499, 2490569.7021019845 1118654.1568238246, 2490569.690141338 1118654.1541836087, 2490569.678180905 1118654.1515416068, 2490569.6781627433 1118654.151539431, 2490569.678144884 1118654.1515354887, 2490569.665982862 1118654.1500803125, 2490569.653821243 1118654.148623382, 2490569.653802958 1118654.1486229969, 2490569.6537847957 1118654.1486208239, 2490569.6415384933 1118654.1483647372, 2490569.6292928434 1118654.1481068735, 2490569.629274607 1118654.1481082826, 2490569.6292563207 1118654.1481079003, 2490569.617044026 1118654.1490533834, 2490569.6048319284 1118654.1499970558, 2490569.6048139185 1118654.1500002455, 2490569.604795682 1118654.1500016574, 2490569.5927347536 1118654.152139622, 2490569.5806740695 1118654.1542757251, 2490569.5806564586 1118654.1542806649, 2490569.5806384487 1118654.1542838574, 2490569.5688450523 1118654.1575937334, 2490569.55705192 1118654.160901676, 2490569.557034879 1118654.1609083177, 2490569.5570172677 1118654.1609132604, 2490569.54560532 1118654.1653630615, 2490569.534192974 1118654.1698110965, 2490569.534176665 1118654.1698193776, 2490569.5341596245 1118654.169826022, 2490569.5232397644 1118654.175372465, 2490569.5123173767 1118654.180918184, 2490569.5123019563 1118654.1809280245, 2490569.5122856507 1118654.1809363065, 2490569.5019618375 1118654.1875264912, 2490569.4916358013 1118654.1941159717, 2490569.491621421 1118654.194127275, 2490569.491606004 1118654.1941371164, 2490569.4819774623 1118654.2017077864, 2490569.4723474225 1118654.2092773572, 2490569.472334219 1118654.209290016, 2490569.4723198414 1118654.2093013208, 2490569.463479456 1118654.2177795505, 2490569.4546379982 1118654.2262563284, 2490569.4546261006 1118654.2262702188, 2490569.4546128986 1118654.22628288, 2490569.446646048 1118654.2355868476, 2490569.4386780798 1118654.244889368, 2490569.4386675996 1118654.2449043593, 2490569.438655704 1118654.2449182519, 2490569.4316388206 1118654.2549587975, 2490569.42462137 1118654.2649970301, 2490569.4246124118 1118654.2650129732, 2490569.4246019325 1118654.2650279682, 2490569.4186026817 1118654.275708478, 2490569.412603243 1118654.286385667, 2490569.4125958895 1118654.2864024134, 2490569.4125869316 1118654.2864183611, 2490568.030846646 1118657.056494348, 2490566.8324000016 1118656.489500001, 2490566.660599999 1118656.4081999995, 2490566.6537000015 1118656.4052000009, 2490547.2575000003 1118648.4813, 2490544.4312999994 1118655.3988000005, 2490540.1900000013 1118665.7813000008, 2490559.0975 1118673.5056999996, 2490559.0650000013 1118673.585000001, 2490565.2624999993 1118676.5163000003, 2490566.281300001 1118674.3621000014, 2490570.191300001 1118676.5212999992, 2490574.3238000013 1118669.0388000011))",Wood stove/Solar thermal installation for multiple buildings/Electrical heater for single building,Not documented/No heat generator,0.0,70869.25252004055,0.0,32.66898804000026,0.0,601078,1165691,831413,334278,1268.8331650364482,1924.217920852056,615.067791841508,8193.15,4.3414913655821925,18.0,15.5,12.0,17.0,65.0,50.0,60.0,15.0,579.8232931726907,553.0912477674169,5607.000000000001,589.9129972155445,678.9201678209038,20.000000000000004,11.9,0.2105613121294398/0.2782733972405386/0.16623261483903143/0.1523798969357788/0.10943647143569568/0.08311630741951571,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Oil/Electricity/Gas,Oil/Electricity/Gas,Boiler/Central electrical boiler,II/II/II/II/II/II,0.08725801608101802,119.39999999999502,15881.36,0.0018623632736743097,2.0955837535325026,8.047029725998794,116.13490555762031,116.16804490775452,678.9201678209038,88022.97413654618,10106.32,6638,10323,22556
1025515/1025546,1919-1945,Residential,218.0,True,2490649.7644045847,1118769.1919,491.2903394698566,9780,True,False,,"POLYGON ((2490643.0696595022 1118740.7750185907, 2490640.7863 1118741.5887999982, 2490639.759093361 1118741.9551534993, 2490638.4847554993 1118742.409423413, 2490638.4807862476 1118742.4110620462, 2490638.2487999983 1118742.4937999994, 2490640.6761999987 1118749.3049000017, 2490631.2487999983 1118752.664999999, 2490634.4327000007 1118761.5975000001, 2490634.545000002 1118761.9125000015, 2490635.6900000013 1118765.1237999983, 2490637.0687999986 1118764.6325000003, 2490642.4562 1118779.7476999983, 2490629.1174999997 1118784.2225000001, 2490630.489599999 1118788.3114, 2490631.776299998 1118792.147500001, 2490654.896299999 1118784.3913000003, 2490653.6099999994 1118780.5549999997, 2490652.3093999997 1118776.680399999, 2490662.285 1118773.2600000016, 2490655.5691 1118754.4188, 2490655.4573 1118754.1052, 2490653.5439999998 1118748.736299999, 2490653.465262682 1118748.5153536322, 2490653.4644288756 1118748.512595099, 2490653.46089325 1118748.5008860389, 2490652.6886326685 1118746.3338651126, 2490653.002837137 1118746.2211177913, 2490653.004703532 1118746.2203427113, 2490653.236299999 1118746.1374999993, 2490653.1613555513 1118745.9272679703, 2490653.1609614315 1118745.925277425, 2490653.1608964796 1118745.9250626254, 2490653.1608525007 1118745.9248425777, 2490653.157346104 1118745.91332135, 2490653.1538603357 1118745.9017937367, 2490651.423718306 1118741.0528974815, 2490650.3938000016 1118738.1638000011, 2490648.9033459327 1118738.6954537348, 2490643.0696595022 1118740.7750185907))",Boiler for multiple buildings/Solar thermal installation for multiple buildings,Not documented,0.0,23213.269148000032,0.0,10.700747999999999,0.0,601102,1708059,1205446,502613,1935.4535556608425,582.1163458056184,186.07092862484436,2478.6,1.313392345890411,18.0,15.5,12.0,17.0,65.0,50.0,60.0,15.0,175.1004016064257,817.1970657832258,2879.4,934.4460292147426,1001.0075264461001,20.000000000000004,3.6,0.3944954128440367/0.6055045871559633,"['existing', 'existing', 'existing', 'existing']",Gas/Oil,Gas/Oil,Boiler,II/II,0.09464382968415071,119.39999999999452,4796.0,0.00202,2.211009174311733,8.22033946985657,175.14143266846716,175.14346257348777,1001.0075264461001,26581.991967871483,3052.0,6638,10323,22556
1025534,<1919,Residential,250.0,True,2490591.0646334,1118625.4444000013,485.098584061356,9780,True,False,,"POLYGON ((2490596.2974999994 1118636.6662999988, 2490601.067499999 1118630.6950000003, 2490597.9288000017 1118628.1875, 2490601.4113 1118623.826299999, 2490590.3563 1118614.9963000007, 2490588.397500001 1118617.4463, 2490582.9888000004 1118624.2188000008, 2490581.031300001 1118626.6700000018, 2490592.0874999985 1118635.5, 2490593.158399999 1118634.1594999991, 2490595.1587999985 1118635.7569000013, 2490596.2974999994 1118636.6662999988), (2490595.136626694 1118635.4189510215, 2490595.1366266944 1118635.4189510217, 2490595.1587999985 1118635.7569000013, 2490595.136626694 1118635.4189510215))",Solar thermal installation for multiple buildings,Not documented,0.0,23853.220749999986,0.0,10.995750000000001,0.0,601104,546458,314203,232255,707.7921678482337,679.1357367617834,217.08275005866233,2891.7000000000003,1.5322910702054797,18.0,15.5,12.0,17.0,65.0,50.0,60.0,15.0,200.80321285140562,198.37531197905358,430.4554394384273,430.4549737227889,277.3371941254448,20.0,4.2,1.0,"['existing', 'existing']",Oil,Oil,Boiler,II,0.08480461966749346,119.3999999999976,5500.0,0.00181,2.9999999999999996,10.400186694754055,60.716376600255224,60.71633182070924,277.3371941254448,30483.935742971884,3500.0,6638,10323,22556
2042550,1946-1960,Industrial,448.26000000000005,True,2490034.268863697,1118947.0073499996,476.76594990744144,9786,True,False,,"POLYGON ((2490016.3988000005 1118937.5274999999, 2490027.3691000007 1118947.6622000001, 2490028.1125999987 1118948.3487000018, 2490024.142499998 1118952.6462999992, 2490024.3264391893 1118952.8162208872, 2490024.3265674952 1118952.8163516412, 2490024.326573845 1118952.8163569537, 2490024.326579644 1118952.8163628622, 2490024.3870185404 1118952.872183388, 2490030.8999999985 1118958.888799999, 2490031.2525000013 1118958.507199999, 2490034.146299999 1118961.1812999994, 2490034.146311312 1118961.1812877534, 2490036.1810000017 1118963.061999999, 2490038.215999998 1118964.9420000017, 2490040.6229999997 1118962.3370000012, 2490043.030000001 1118959.7320000008, 2490040.995000001 1118957.8520000018, 2490038.960000001 1118955.9710000008, 2490036.559337561 1118958.5691411113, 2490038.4338000007 1118956.539999999, 2490035.539500002 1118953.8671999983, 2490042.482500002 1118946.352499999, 2490042.30245506 1118946.186165495, 2490042.2983529763 1118946.1819842241, 2490042.2983489814 1118946.1819808811, 2490042.298345333 1118946.1819771626, 2490036.1635496747 1118940.51443806, 2490036.352499999 1118940.3099999987, 2490024.1999999993 1118929.0837999992, 2490020.3099999987 1118933.2925000004, 2490016.3988000005 1118937.5274999999))",Not documented,Not documented,0.0,55138.21323131985,0.0,23.83488072,0.0,600951,746098,482728,263370,733.1678606350583,166.1070682726427,53.095393502249834,0.0,0.0,18.0,16.4,12.0,17.0,65.0,50.0,60.0,15.0,360.04819277108436,361.49224617150827,524.6597641126498,355.4839476525214,377.683912982537,18.0,22.4,1.0,"['existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing', 'existing']",Other,Other,Not documented,IX,0.034246492262680596,112.51000000001969,7620.420000000001,0.00211,2.0,6.693590065711055,114.58057817710721,89.30627622563912,377.683912982537,22055.112096385543,3137.82,6638,10323,22556
1025501,1971-1980,Residential,80.0,True,2489967.7941408902,1118946.13875,473.90000000000003,9786,True,False,,"POLYGON ((2489956.468800001 1118947.5474999994, 2489959.0801 1118950.0099, 2489963.0386000015 1118953.742800001, 2489967.0513000004 1118957.5274999999, 2489980.0150000006 1118943.7800000012, 2489976.0025999993 1118939.996199999, 2489972.0438 1118936.2624999993, 2489964.354200002 1118944.4169000015, 2489961.7437999994 1118941.9549999982, 2489959.1262999997 1118944.7300000004, 2489956.468800001 1118947.5474999994))",Solar thermal installation for multiple buildings,Not documented,0.0,8813.83095999998,0.0,4.0629599999999995,0.0,600929,496137,319724,176413,513.8716472801544,210.20868043208208,67.19227978192113,895.0500000000001,0.4742805693493151,18.0,15.5,12.0,17.0,65.0,50.0,60.0,15.0,64.25702811244979,186.69689434435648,448.7,257.8367600947722,256.0348871853822,20.0,1.3,1.0,"['existing', 'existing']",Oil,Oil,Boiler,II,0.09792356635636701,119.39999999999253,1760.0,0.00209,2.0,7.37,60.88245986834874,61.185347232908356,256.0348871853822,9754.859437751002,1120.0,6638,10323,22556
1025498/1025499,1961-1970,Residential,261.83000000000004,True,2490257.262527438,1118727.4001000002,473.31047278973267,9781,True,False,,"POLYGON ((2490263.9662999995 1118745.5100000016, 2490274.1963 1118738.5113000013, 2490271.354600001 1118734.3564999998, 2490271.9250000007 1118733.9662999995, 2490265.0878 1118723.9736000001, 2490263.2399999984 1118721.272500001, 2490265.0738000013 1118720.0500000007, 2490260.6999999993 1118713.6574999988, 2490251.451299999 1118719.9857, 2490245.0275 1118724.3812999986, 2490250.3150000013 1118732.1099999994, 2490252.7874 1118730.4189000018, 2490253.7052999996 1118731.7611000016, 2490260.5425000004 1118741.753800001, 2490261.1242999993 1118741.3557000011, 2490263.9662999995 1118745.5100000016))",Solar thermal installation for multiple buildings,Not documented,0.0,27880.414041380038,0.0,12.852187380000002,0.0,600978,793993,558600,235393,790.5071285664442,695.3056352643463,222.25138696745313,2960.5499999999997,1.5687741909246575,18.0,15.5,12.0,17.0,65.0,50.0,60.0,15.0,210.30522088353413,357.61592766458676,682.3678856609595,341.1662500811394,449.3408784853048,20.0,4.3,0.5346980865447045/0.46530191345529537,"['existing', 'existing', 'existing', 'existing']",Oil,Oil,Boiler,II/II,0.09464382968415476,119.39999999999546,5760.26,0.00202,1.534698086544678,6.300472789732756,88.27408224004965,88.2712740778798,449.3408784853048,31926.435582329315,3665.62,6638,10323,22556
1025547,<1919,Residential,280.0,True,2490454.6286602346,1118147.0768999998,455.1000000000001,9780,True,False,,"POLYGON ((2490448.1213000007 1118160.7212999985, 2490469.3088000007 1118143.4688000008, 2490465.6499999985 1118138.9750000015, 2490462.048799999 1118134.5524999984, 2490452.204999998 1118142.5687999986, 2490451.2925000004 1118141.4475000016, 2490439.9488000013 1118150.6849999987, 2490444.4613000005 1118156.227499999, 2490448.1213000007 1118160.7212999985))",Wood stove,Not documented,0.0,26715.607239999983,0.0,12.315240000000001,0.0,601047,779261,484053,295208,857.0036948192851,915.1955738461871,292.5382383194088,4819.5,2.553818450342466,18.0,15.5,12.0,17.0,65.0,50.0,60.0,15.0,224.89959839357428,258.7819894782837,476.7654283479334,476.7512562442531,380.252438575032,20.0,7.0,1.0,"['existing', 'existing', 'existing']",Oil,Electricity,Central electrical boiler,I,0.08683896932663188,120.29999999999959,7840.0,0.00181,2.0,8.41,72.53604324024455,72.53435809117437,380.252438575032,20648.032128514056,5880.0,6638,10323,22556
1025550,<1919,Residential,180.0,True,2490693.512559193,1118741.6369000003,490.3500000000001,9780,True,False,,"POLYGON ((2490700.9032999985 1118748.5493, 2490705.6050000004 1118745.7087999992, 2490697.535 1118728.289999999, 2490692.7575999983 1118730.9706000015, 2490688.968800001 1118733.0962999985, 2490681.003800001 1118737.5650000013, 2490690.701299999 1118754.7124999985, 2490697.1724000014 1118750.8033000007, 2490700.9032999985 1118748.5493))",Solar thermal installation for multiple buildings,Not documented,0.0,17174.31893999999,0.0,7.91694,0.0,601124,709852,470225,239627,745.8614847765853,485.0969548323014,155.0591071855439,2065.5,1.0944936215753425,18.0,15.5,12.0,17.0,65.0,50.0,60.0,15.0,144.57831325301203,298.63104799172135,378.66124933104453,378.6609369396285,367.2005478369567,20.0,3.0,1.0,"['existing', 'existing']",Oil,Oil,Boiler,II,0.08480461966748984,119.39999999999668,3960.0,0.00181,2.0,7.870000000000001,69.24969877398895,69.2496590800352,367.2005478369567,21948.433734939757,2520.0,6638,10323,22556
